"The &bMaterial Generator&r will &6automaticaly generate various materials&r, based on certain factors.","&b材料生成器&r会根据条件&6自动生成各种材料&r"
"Learn how to use the Fission Reactor","学习如何使用裂变反应堆"
"&bHoning&r is increased the same way, but will &6boost a tool part&r when honed.","&b打磨&r也是这样增加的，但打磨时会&6加速工具部件磨损&r。"
"You can &6open it by sneak right-clicking&r, allowing you to apply upgrades.","你可以&6潜行右击打开它&r，可以应用升级。"
"Sneak right-click it on a Pedestal to save its color to the Applicator. Right-click other Pedestals to color them.","潜行右击基座来将其颜色保存到染色器，右击其他基座为其染色"
"Digital Chest","数字箱子"
"This process is slow and power consuming at first but once you have access to the microfusion extrapolator you can greatly speed up this process.","这一过程起初会比较慢，而且很耗电。但一旦能使用&b微聚变外推器&r之后，这一过程就可以大大加快"
"Rackem up!","挂起来！"
"Mana Storage and Transfer","魔力存储和传输"
"The &bPestle and Mortar&r allows you to &6crush and blend items together&r.","带杵的臼可以让你&6粉碎和混合物品&r。"
"[\""\"",\""\"",{\""text\"":\""[ Diesel Generator ]\"",\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/ftbquests open_book 2BBB711EC45D27B3\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Take me to the Quest\""]}}]","[\""\"",\""\"",{\""text\"":\""[ 柴油引擎 ]\"",\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/ftbquests open_book 2BBB711EC45D27B3\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""前往该任务\""]}}]"
"We Ain't Lion","我们不是狮子"
"Modded Helmets","模组头盔"
"Doot Doot","滑溜溜"
"The &bSqueezer&r squeezes fluids out of items and/or crushes them for processing. To do so, place an item inside and then &6repeatedly jump on it&r until it's done.","&b挤压机&r从物品中挤出流体或粉碎以进行处理。将物品放入里面，然后&6在上面跳&r直到压到底。"
"Step Into My Parlor","走进我的客厅"
"Tier 5","5级"
"Filling the Element Container with Elemental Energy and using the Inscription Tool will allow you to attune Runes into a variety of Runes.","用元素能量装满元素容器，再用刻印工具就可以把符文共鸣成各种符文。"
"Make a Ritual Brazier","做一个仪式火盆"
"Occasionally crows will find their way to your island over time through the ftbskies:crow event as long as you have it enabled.","随着时间的流逝，乌鸦偶尔能发现前往你小岛的路（如果你启用了ftbskies:crow）"
"[\""\"",\""See the chapter \"",{\""text\"":\""Sky High Delights\"",\""color\"":\""light_purple\"",\""clickEvent\"":{\""action\"":\""change_page\"",\""value\"":\""1AA9D32D3A6F9ECE\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Sky High Delights chapter\""]}},\"" for more information.\""]","[\""\"",\""查看章节\"",{\""text\"":\""天高任鸟飞\"",\""color\"":\""light_purple\"",\""clickEvent\"":{\""action\"":\""change_page\"",\""value\"":\""1AA9D32D3A6F9ECE\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""天高任鸟飞章节\""]}},\""以了解更多信息。\""]"
"&bSpringaline&r can be crafted one at a time in the &6Infuser&r.","&b春涌水晶&r可以在&6灌注器&r中制作"
"Using an &6Springaline Desh Mesh&r will allow &6Soulsand&r to drop &bGhast Tears&r.","用&6春涌戴斯筛网&r筛&6灵魂沙&r可以掉落&b恶魂之泪&r。"
"You know the drill; break trees, make things. Make a crafting table to get started delving into the recipes ahead. For your convenience we've added it to a stick! Enjoy. Also check out the &eCrafting Station&r which can use adjacent inventories and retain items. ","你懂规矩的。撸树，还有合成物品。做个工作台开始研究前面的配方。为了方便你，我们把它粘到了棒棒上！也看看&e合成站&r，它可以利用相邻容器的物品，并在退出时保留合成界面物品。"
"Hmmmm","嗯哼"
"The &bSpell Desk&r is used to create &6Spells&r, which perform a variety of functions.","&b法术桌&r用于制作&6卷轴&r，它们具有各种功能"
"Andesite level materials","安山合金级别材料"
"Instead, it brings you to &6End Cities&r. Similar, but distinctly different. There's nothing to trade, just loot.","相反，它将指向&6末地城&r。相似，但又截然不同。没有可交易的村民，只有战利品箱子"
"Machine Augments","机器增强"
"These are the last upgrade and will make your Machine scale up to 4x its speed.","这是最后一个升级，你的机器将达到4x速度。"
"The &bMeat Feeder&r, while supplied with Liquid Meat, will &6automatically keep you fully fed&r while anywhere in your inventory.","&b肉汤注射器&r在供应肉汤时，放在你的物品栏里会&6自动喂食保持饱腹&r"
"The &bEnchantment Library&r can &6store Enchanted Books&r, and retrieve the enchantments individually.","&b魔咒图书馆&r可以&6存储附魔书&r，并可单独检索并取出附魔书"
"Not the fastest...","不是最快的…"
"Once summoned, use a &6Dominion Wand&r on them, then sneak right-click an inventory like a Chest or Barrel.","召唤后，对其使用&6支配之杖&r，然后潜行右击一个容器，比如箱子或桶。"
"In &6Construction&r mode, right-clicking the Dank &n&6acts like the item it is holding&r, as far as right-clicking goes. It can place blocks, right-click tools, throw Ender Pearls, etc. It doesn't work on items that have an animation, however.. &6Set the item by scrolling while sneaking&r.","在&6建造&r模式下，&6通过潜行+滚动设置物品&r，右击&n&6可使用黑盒中的物品&r，它可以放置方块、使用工具右击、投掷末影珍珠等。但是，它对有动画的物品不起作用…"
"Speed Addons","速度升级插件"
"The &bTinkering Table&r and &bAlchemy Table&r will cover a variety of other blocks, such as Redstone, Amethyst, and the like.","&b工匠工作台&r和&b学者工作台&r覆盖其他各种方块，例如红石、紫水晶等。"
"Make &bpeat&r from dry peat which you then saturate in world by placing it in water. Once it converts to saturated you mine it up and smelt it. This smelted peat can be burned for fuel but once you're able to further refine it into enriched peat you'll want to do that for far better energy yield. It is suggested you make at least a stack of this at a time as you'll need quite a bit to get to the end of this chapter. ","把干燥泥炭田放入水中以获得&b饱和泥炭田&r。吸饱了水之后，你就可以采集它，然后扔进炉子里烧炼。烧出的泥炭可以作为燃料燃烧，但你能进一步将其精炼成富集泥炭，获得更好的能量产出。建议你一次至少做一组，因为你需要相当多的泥炭才能完成这个章节。"
"Most magic in &eOccultism&r uses &6rituals&r.","一般用于&e神秘学&r的&6仪式&r"
"Place one on the contraption, and another that is not. Whenever the two line up (aka, when the contraption moves close), the contraption will pause to allow items to pass through.","一个放在动态结构上，而另一个要放在别处。每当两个接口成一排时（动态结构靠近），动态结构就会暂停，让物品输出"
"The RTG will stop working if its internal FE buffer fills so you'll want to make sure you're using or voiding the excess energy. This heat produced can be sent via an Entagleporter to any machines that require mekanism OR Pneumaticraft heat! Compact machines work well for these setups where radiation is... less concerning...","如果内部FE缓冲区满了，&b放射性同位素热电机&r就会停止工作，因此您要确保使用或废止多余的能量。产生的热量可通量子传送装置，输送到任何需要&b通用机械或气动工艺热量&r的机器！压缩空间里非常适合放置这些机器，因为此处无需担忧辐射问题……"
"Swish and Flick","闪闪发光"
"Make a Sewer","制作动物排污器"
"To get some Runes, craft a Rune Inscriber and Rune Inscription Chisel.","要获得符文，请先制作一个符文刻印机和符文刻印凿。"
"Using the &6Magma Crucible&r will allow you to smelt some &6Silver Ingots&r","使用&6熔岩炉&r熔化一些&6银锭&r"
"Thermal machines can have various &bAugments&r installed onto them, changing their function in some way.","热力机器可以安装各种&b增强&r，改变它们的某种功能。"
"Coloring Pedestals","彩色基座"
"&6{block.pneumaticcraft.uv_light_box}&r is needed to get the &b{item.pneumaticcraft.empty_pcb}&r ready for the Etching Tank.","&b{item.pneumaticcraft.empty_pcb}&r需要经过&6{block.pneumaticcraft.uv_light_box}&r处理才能进入蚀刻器。"
"Andesite in occultism spirit fire will create an otherworldly stone that seems particularly adept at channeling spirit energies. Wouldn't hurt to make a decent supply of this for later.","安山岩在神秘学灵火中会产生一种异界石，似乎特别擅长引导精神能量。为日后准备一批这样的石头也无妨"
"&bMechanical Arms&r can move items with much more precision than Mechanical Belts.","&b动力臂&r能比传送带更精确地移动物品"
"A Mutton for Punishment","待宰的羔羊"
"To transfer the collected Gene to a new Bee, you have to combine it with a &bHoney Treat&r and feed it to the Bee.","要将收集到的基因转移到新的蜜蜂上，您必须将其与&b蜜蜂小食&r合成并把它喂给蜜蜂"
"Raw Fish can be sliced down to more useful cuts to make a nice alternative source of meat.","生鱼可以切成更多功能的鱼片以制作肉类的平替。"
"Be sure to recharge it from time to time!","一定要时不时给它充电！"
"The &bLaser Amplifier&r can accept Laser beams from 5 of its sides, store their energy, then shoot it out the front.","&b激光增幅器&r可以接受5面的激光束，存储能量，然后从前面射出。"
"The next step up of our Pity Machine Frames are these Machine Frames.","我们那简陋机器框架的下一步是升级为机器框架。"
"Many advanced recipes need a &bTier 3+ Short Blade&r to act as a cutting tool. ","许多高级配方需要一个&b3+级短刃&r来作为切割工具。"
"&6Reficiat Rune&r - Increase efficiency","&6重现符文&r——提升效率"
"&bCompact Machines&r contain within them a &6small pocket dimension&r, which can be accessed through a &bPersonal Shrinking Device&r!","&b压缩空间机械&r其中包含&6小型口袋维度&r，可以通过&b个人缩放设备&r访问！"
"&eBotania&r offers 3 Tiers of Armor. The first one being the &bManasteel Armor&r","&e植物魔法&r提供3个等级的盔甲。第一个是&b魔力钢盔甲&r"
"With all the resources gathered, crafting a &bFluid Extractor&r shouldn't be to much of an issue.","把所有资源合到一块，制作一个&b液体提取器&r应该不成问题"
"Bees produce &bHoneycomb&r, which can be used in several recipes.","蜜蜂生产&b蜜脾&r，可用于多种合成配方"
"The &bEye of Legend&r will &6help you find Sky Villages&r!","&b传奇之眼&r会&6帮助您找到天空村庄&r！"
"Make an Enchantment Library","制作一个魔咒图书馆"
"&b{item.pneumaticcraft.empty_pcb}&r can easily be created by using the {block.thermal.machine_bottler}","&b{item.pneumaticcraft.empty_pcb}&r可以通过{block.thermal.machine_bottler}轻松制造"
"Wandering traders can sell GMO chicken feed which you can feed to chickens to get a golden egg to make &6Delightful Dirt&r, which makes passive mobs spawn MUCH faster.","流浪商人可以出售转基因鸡饲料，您可以给鸡喂食，获得一个金蛋来制作&6祈福之土&r，这样被动生物的生成速度就会更快。"
"Place a &6filled Item Frame&r on it to set which item is requested. Rotate it once to pull 2, again for 4, then 8, 16, 32, and 64. If it has multiple Item Frames, it will choose a random one to request.","放置&6物品展示框&r来设置请求的物品。旋转一次输出2个物品，再旋转一次输出4个物品，然后是8、16、32和64个。如果有多个物品展示框，它将随机选择一个请求。"
"Magebloom can be harvested and then crushed into &bMagebloom Fiber&r, which is used in several recipes.","法师之花可以收获然后被粉碎为&b法师之花纤维&r，用于几种配方。"
"Sage is used in several recipes.","鼠尾草可用于几种配方。"
"Beware: this plays oddly with the &6Storage Bus&r, &6External Storage&r, and the like.","注意：它和&6存储总线&r、&6外部存储总线&r等等放在一起表现的有点奇怪。"
"When near the &bCorporea Index&r, you can &6say in chat&r an item and the amount to request it from inventories connected to the Corporea Spark on top of it.","当靠近&b多媒体索引&r时，你可以在&6聊天栏&r输入物品的名称和数量，从与其相连的多媒体火花容器中请求该物品"
"&bMagebloom&r is a very magically powerful plant, which is created in the Enchanting Apparatus.","&b法师之花&r是一个蕴含着强劲魔力植物。可以在附魔装置中合成。"
"The &bOre&r and &bFluid Lasers&r use FE to &6generate ore/fluid from nothing&r.","&b矿石&r/&b流体&r镭射使用FE能量&6凭空生成矿石/流体&r"
"Just combine the previously obtained Ethelyne with some Latex!","只需要将之前获得的乙烯和胶乳混合在一块。"
"The &bEnchantment Library&r is a block that stores &6Echantments&r. Inserting an enchanted book will deposit it.","&b附魔图书馆&r是一个存储&6附魔&r的方块。放入附魔书附魔就会被存储。"
"Ok Seriously, This Thing's Pretty Good","好吧，说真的，这东西很不错"
"Save some time for later","为以后节省一些时间"
"Linking Storage Lecterns","连接存储讲台"
"• &6Right clicking&r inserts an item (Upgrades and the like must be in the off-hand)","• &6右击&r插入物品（升级或其他类似功能必须在副手）"
"Thanks to &eProductive Bees&r, some Bees will &6produce resources&r while others will &6perform tasks&r. Make sure to consult the &6Big Book of Bees&r for more information.","感谢&e资源蜜蜂&r，一些蜜蜂会&6生产资源&r，而其他蜜蜂会&6外出工作&r。请务必查阅&6蜜蜂百科全书&r了解更多信息"
"E I E I O","咿呀咿呀呦"
"Pipes and the like can access the Actuator's inventory.","管道等可以访问促动器的库存"
"Converts slowly in the imbuement chamber over time. Providing &bSource&r will greatly speed up this process but it is optional.","随着时间的推移，灌注室自己能缓慢转换物品。提供&b魔源&r会极大地加速这个过程，但不是必要的。"
"You can &6lure and breed Bees&r from events using Poppies!","你可以用虞美人&6引诱和繁殖&r来自事件的蜜蜂！"
"Events","事件"
"What Do We Want? BRAIIINS! When Do We Want Them? BRAIIIINS!","我们想要什么？BRAIIINS！我们何时需要？BRAIIIINS！"
"• In offhand, &6sneak right-click an inventory&r to set the filter to its contents. For example, clicking a Chest that has Dirt inside will set the filter to Dirt. Fluid Filters use filled Buckets.","• 在副手时，&6潜行右击容器&r设置过滤内容。例如，右击装有有泥土的箱子，就会设置为过滤泥土。流体过滤则使用流体桶"
"With the newly acquired Mana Diamonds, craft up some &bField Projectors&r.","使用新获得的魔力钻石，制作一些&b力场投影仪&r。"
"&6Every Bee is unique.&r Different bees have different attributes, which dictate how they bee-have.","&6每只蜜蜂都是独一无二的&r。不同的蜜蜂有不同的特性，这就决定了它们是如何养殖的"
"Above the crafting grid, you can &6store up to 6 recipes&r. Double-clicking a stored recipe will fill the grid instantly.","合成网格上方，您可以&6储存6个合成配方&r。双击已存储的合成配方会立即填充合成格"
"The &bLinking Tool&r is used to link Pedestals to each other.","&b链接工具&r用于基座的连接"
"The &bTemporal Pouch&r will &6passively store time&r while it's in your inventory.","当它放在你的物品栏里时，&b时间袋&r会&6被动存储时间&r。"
"On behalf of the Entire FTB Team, Thankyou for playing and &6congratulations!&r","谨代表全FTB团队，感谢你的游玩，&6恭喜你通关&r！"
"Drawers","抽屉"
"An &bOven&r will allow you to &6quickly cook foods&r, and works from the Cooking Table!","&b烤箱&r可以让你&6快速烹饪食物&r，也可以和烹饪台一起工作。"
"Make Magebloom Fiber","制作法师之花纤维"
"The more you wear, the more protected you are. Frankly, it isn't even worth wearing only some of it without the rest.","你穿得越多，保护得越好。说真的，只穿一部分还不如不穿。"
"Vanilla Leggings","原版护腿"
"Magic Robes","魔法长袍"
"Andesite level materials","安山合金级别材料"
"&eApplied Energistics 2&r will need &bCertus Quartz&r and lots of &bPrinted Silicon Circuits&r to start.","开始&e应用能源2&r需要&b赛特斯石英&r和大量&b硅板&r"
"Channels! Yay!","耶！频道！"
"Archwood Saplings","至高木树苗"
"&bStorage Upgrades&r can be installed onto Drawers to &6increase their capacity&r.","&b存储升级&r可以安装在抽屉上，&6增加其容量&r。"
"&bFilters&r can be inserted into Cards to filter what they move.","&b过滤器&r可以插入卡片里过滤它们运输的东西。"
"The next tier of circle magics will require a more potent chalk. The Gold Chalk allows energy to move more freely through it. You'll need to obtain some gold dust and glow stone either by having a crusher spirit crush it or some other mechanism. ","下一级的圆环魔法需要更强的粉笔。金粉笔能让能量更自由地在其中流动。您需要一些金粉和萤石粉，可以由碎矿者魔灵粉碎获得，或通过其他机制"
"&bFluid Cards&r allow Laser Nodes to &6move liquids&r.","&b流体卡&r允许激光节点&6运输液体&r。"
"Upgrading Pedestals","升级基座"
"We hope you enjoyed the journey!","我们希望你喜欢这趟旅程！"
"(More info about each Scroll on the next page)","（每种卷轴的介绍在下一页）"
"Armor Threads","护甲纤维"
"&bCard Overclockers&r make Cards work faster.","&b物流卡超频器&r可以让卡片工作得更快。"
"[\""\"",\""Chest                            \"",{\""text\"":\""[ Toggle ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:chest\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Toggles the Mimic Event. They spawn from one of your chests. Mimics drop Artifacts on death\""]}}]","[\""\"",\""箱子　　　　　　　　　　　　　　　　\"",{\""text\"":\""[ 开关 ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:chest\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""开关宝箱怪事件。它们从你的一个箱子旁生成。宝箱怪死亡时掉落饰品\""]}}]"
"Spiffy!","好样的！"
"Automaing ALL the things!","自动化所有的东西！"
"Tetra tools are made by &6modifying vanilla tools&r, done by inserting them into the Workbench. You don't craft tools; you &6swap parts of existing ones&r instead.","Tetra工具通过&6调整原版工具&r来制作，将其插入加工台完成。我们不制作工具；我们只&6调整现有的工具&r。"
"I'm twerked about Twerk.","一想到要做电臀舞我的屁股就开始扭起来了"
"Oh Beehave!","哦，有蜜蜂！"
"&6Sneak right-clicking Tools&r will swap them into other Tools. All of these are made either from each other or the Upgrade Tool.","&6潜行右击工具&r将它们转换成其他工具。所有这些工具都是由彼此或升级工具制成的"
"&eFlux Networks&r allows you to &6wirelessly transfer FE&r at massive speeds, as well as &6charge your inventory&r from any distance.","&e通量网络&r允许你以可观的速度&6无线传输FE&r，以及在任意距离&6为你的物品充电&r。"
"Mekanism Quantum Item Orchestration is a powerful mass storage solution that is available to you as soon as you are able to make basic circuits. The drive array is more expense and you wont be able to make more until later but you're given one here as a quest reward. Each drive array can hold up to 12 storage drives. ","通用机械的QIO量子存储系统可以存储大量物品，只要您能够制作基础电路板，就可以使用它。驱动器阵列的制作成本较高，以后才能制作更多的驱动器阵列，但这里有一个驱动器阵列作为任务奖励。每个驱动器阵列最多可容纳12个存储驱动器"
"The Elemental Infuser takes an item and infuses it with the elemental energy piped into it from the container under it. You can pipe from other containers into the one at the bottom if your recipe calls for more than a single container can hold.","把物品放置在元素灌注器上，并将元素能量注入下面的元素容器。如果合成配方中元素需求超过一个容器，你可以用管道抽取其他容器的元素到底部的容器中。"
"Ranching 101","牧业101"
"&bShears&r are useful for harvesting Grass and Leaves, which can be put to use in the Composter or the Sifter.","&b剪刀&r对收割草和树叶很有用。它们可以放在堆肥桶或筛子中。"
"Air Conditionern't","制热空调"
"The &bCryo Freezer&r converts &6Ice Shards&r (which can be found as an ore on cold planets) into &6Cryo Fuel&r.","&b凛冰冻结装置&r可以将&6寒冰碎片&r（可以在寒冷的星球上找到作为矿石）转化为&6凛冰燃料&r"
"Applying a &bBasic Tier Installer&r to most &eMekanism&r machines will transform them into a &6Factory&r.","对大多数&e通用机械&r机器使用&b基础工厂安装器&r会将其转化为&6工厂&r。"
"Basic Tinkering","基础工匠"
"If they do fail however, you can use the &6{item.pneumaticcraft.failed_pcb}&r and blast off your mistakes to restart again","即使失败了也可以用&6{item.pneumaticcraft.failed_pcb}&r再次加工弥补错误。"
"The events with a mob in the name (&6ftbskies:frog&r, &6:animal&r, &6:wandering_trader&r etc) just cause that mob to spawn occasionally.","以&6ftbskies:frog&r、&6:animal&r、&6:wandering_trader&r等命名的生物事件只会偶尔生成该生物。"
"&bDimensional Stabilizers&r allow you to &6increase the max capacity of your Dimensional Storage&r.","&b维度稳定器&r让您可以&6增加维度存储的最大容量&r"
"See the &6Elementopedia&r for details on each spell&r.","请查阅&6元素百科&r了解每个法术的详细信息"
"The Pedestals 'Multi-Tool'","基座：多功能工具"
"First of many","五花八门的起点"
"With that Latex Bucket, craft up a &bLatex Processing Unit&r and pipe in Water and Latex to get some &6Tiny Dry Rubber&r","使用胶乳桶，合成&b胶乳加工机&r，输入水和胶乳以制作&6小块干橡胶&r"
"Freshly crafted, it has &6128 slots&r, and holds &6up to 1000 items per slot&r. It has a search bar, several sorting options, and a 3x3 crafting grid.","制作完成，具有&6128格存储空间&r，&6每格最多可容纳1000件物品&r。它有一个搜索栏、多个排序选项和一个3x3合成网格"
"Why In Blazes Would You Do Such A Thing?","你为什么在烈焰人身上做这种事情？"
"Unlike other books however, it &chas no GUI&r. Instead, it has to be placed on an &bAltar&r.","与其他书不同的是，这本书&c没有GUI&r，它必须放在&b书坛&r上。"
"You just... have to craft it, don't let the &6Unstable Ingots&r explode","你只是……不得不合成它，不要让&6不稳定金属锭&r爆炸"
"For a use-case example, &6place the Retainer next to the Interceptor from the previous quest&r. Place a Corporea Crystal Cube monitoring Buttons nearby, and point a Comparator from it to the Retainer.","举例说明，，&6将固定器放在上一个任务中的拦截器旁边&r。放置一个多媒体水晶魔方监测附近的按钮，并将一个比较器从它指向固定器"
"Two Crows!","两只乌鸦！"
"Dyes can be applied as an upgrade to &6color Pedestals&r.","染料可以&6染色基座&r"
"from the top/bottom.",""
"Once you have flight, you'll be able to explore for &6floating Nether Villages&r.","一旦你能够飞行，你就可以探索&6漂浮的下界村庄&r。"
"Remember to avoid overpressurizing your system. A Safety Valve can prevent this by placing it on a pressure tube near your rotational compressor but a better solution may come from using a guage to turn off your compressor whenever it isnt needed. ","切记避免系统压力过高。将安全管道模块安装在旋转压缩机附近的压力管道上可以防止这种情况发生，但更好的解决办法是使用压力表，在不需要时关闭压缩机"
"This can be done by looking up how to make flint in JEI.","在JEI中寻找制作燧石的方法。"
"The &bScribe's Table&r is one of the most important blocks within the mod. It is used to &6create Spell Glyphs&r, which allow you to make more spells.","&b抄写台&r是本模组最重要的方块之一。它被用于&6创作魔符&r，让你能够制作更多法术。"
"&bCrows&r are incredibly intelligent animals, able to &6harvest crops, pick up items, pickpocket villagers&r, and more.","&b乌鸦&r是非常聪明的动物，能够&6收获作物，拾取物品，扒窃村民&r等等。"
"The &bStable Wormhole&r lets you &6access the linked Dimensional storage&r from other places.","&b稳定虫洞&r让您可以从其他地方&6访问链接的维度存储&r"
"The &bFlux Controller&r allows you to &6enable inventory charging&r, using FE on the network.","&b通量控制器&r允许你使用网络中的FE&6给物品栏充电&r。"
"&oInstall Upgrades by right-clicking them on their block.","&o右键点击方块以安装升级"
"Advanced Beehive","高级蜂箱"
"Atomic Alloying","原子合金"
"The &bCooking Pot&r is a unique cooking appliance that allows you to &6make several new recipes&r, like Soups, Stews, and Roasts!","&b厨锅&r是一个特殊的烹饪用具，可以让你&6制作一些新的食谱&r，比如煮汤、乱炖或者烤制！"
"Shrines","神龛"
"These &bWitchy Trees&r have potent magical power, and can be sifted from leaves.","这些&b巫树&r有着强大的魔法力量，可以通过筛树叶得到。"
"Sifter go Brrr","筛子转起来"
"If you make a &6Nether Portal shape&r made of Sourcestone, supply Source, and throw a bound &bWarp Scroll through&r, and it will become a &6Warp Portal&r! ","如果你将魔源石按&6下界传送门&r的形状摆放，供以魔源，再向其中丢入一个绑定位置的&b折跃卷轴&r，它就会变成&6折跃传送门&r！"
"The &bPlant Gatherer&r &6harvests crops and trees&r in its work area. Some &6Sludge&r is created as a byproduct, and needs to be piped out.","&b收割机&r&6收割其工作区域内的作物和树木&r。一些&6污泥&r是副产物，需要排出处理"
"The &bHydroponic Bed&r will &6accelerate crop growth on top of itself&r.","&b水培床&r可以&6加速作物生长&r"
"Different parts have different &6magic capacity&r - it's best to &cavoid exceeding it&r, as it can have adverse effects...","不同的零件有不同的&6魔法容量&r，最好&c避免超过上限&r，因为可能有负面效果…"
"Get Sugar Cane","得到甘蔗"
"Soul Steel is the basis for all Spirit magic. You'll need quite a lot of this stuff. It might be nice to invest in some soul steel weapons and tools as well. They can be easily repaired by placing them in soul fire.","灵魂钢是所有精神魔法的基础。你会需要很多这些东西。制作一些灵魂钢武器和工具也不错。将它们放入灵火中就能轻松修复"
"Techno Obsidian Delights","黑曜石科技乐事"
"They can be dyed and named, and &6keep their contents when broken&r.","其可以被染色和命名，并&6在破坏时保留其中的物品&r。"
"Hidden among the clouds, far from your island, you can find &bSky Villages&r.","在离你岛屿很远的云层中，你可以找到&b天空村庄&r"
"Tetra tools can be &6enchanted&r, either in the &bEnchanting Table&r or by installing an Enchanted Book onto a tool part.","Tetra工具可以在附魔台中附魔，也可以通过将附魔书安装到工具部件上来附魔。"
"The final tier of &6Mekanism&r alloys - the &bAtomic Alloy&r","最后一级&6通用机械&r合金——&b原子合金&r"
"Tool Leveling","工具升级"
"Node Upgrade","节点升级"
"This armor does not have infinite durability like some other tech armors but can be upgraded to automatically repair with pressure. ","这种盔甲不像其他一些科技盔甲那样具有无限的耐久，但可以升级，在压力下自动修复。"
"Coolant can be either Water or Sodium. Water is simpler, but Sodium is more efficient (and therefore safer).","冷却剂可以是水或钠。水更简单，但钠更高效（因此更安全）。"
"If there's FE on the network, or if there's a Flux Plug receiving FE, it will be sent out of Points on the network.","如果网络中有FE，或者如果有通量网络输入点接收FE，它会从网络中的接入点传输出去。"
"Unupgraded, a Drawer holds 32 stacks split equally between its slots.","未升级的抽屉，每个槽平分32组物品容量。"
"&6&lEditors Note:&r","&6&l编者提示：&r"
"Then process it further with some plant-based resource.","然后用一些植物资源进一步处理它"
"Make sure to &6bring a way back home&r with you!","请确保你可以&6找到回家的路&r！"
